Layer Name                                                  	Shape               	Device    	Real Precision
--------------------------------------------------------------------------------------------------------------
_orig_mod.language_model.model.embed_tokens.weight          	[152064, 3584]      	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.q_proj.weight	[3584, 3584]        	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.self_attn.q_proj.bias	[3584]              	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.k_proj.weight	[512, 3584]         	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.self_attn.k_proj.bias	[512]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.v_proj.weight	[512, 3584]         	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.self_attn.v_proj.bias	[512]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.o_proj.weight	[3584, 3584]        	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.self_attn.q_norm.weight	[128]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.k_norm.weight	[128]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.q_norm_moe_gen.weight	[128]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.k_norm_moe_gen.weight	[128]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.q_proj_moe_gen.weight	[3584, 3584]        	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.self_attn.q_proj_moe_gen.bias	[3584]              	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.k_proj_moe_gen.weight	[512, 3584]         	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.self_attn.k_proj_moe_gen.bias	[512]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.v_proj_moe_gen.weight	[512, 3584]         	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.self_attn.v_proj_moe_gen.bias	[512]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.self_attn.o_proj_moe_gen.weight	[3584, 3584]        	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.mlp.gate_proj.weight	[18944, 3584]       	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.mlp.up_proj.weight  	[18944, 3584]       	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.mlp.down_proj.weight	[3584, 18944]       	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.mlp_moe_gen.gate_proj.weight	[18944, 3584]       	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.mlp_moe_gen.up_proj.weight	[18944, 3584]       	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.mlp_moe_gen.down_proj.weight	[3584, 18944]       	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.0.input_layernorm.weight	[3584]              	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.input_layernorm_moe_gen.weight	[3584]              	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.post_attention_layernorm.weight	[3584]              	cuda:0    	BF16
_orig_mod.language_model.model.layers.0.post_attention_layernorm_moe_gen.weight	[3584]              	cuda:0    	BF16
_orig_mod.language_model.model.layers.1.self_attn.q_proj.weight	[3584, 3584]        	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.1.self_attn.q_proj.bias	[3584]              	cuda:0    	BF16
_orig_mod.language_model.model.layers.1.self_attn.k_proj.weight	[512, 3584]         	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.1.self_attn.k_proj.bias	[512]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.1.self_attn.v_proj.weight	[512, 3584]         	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.1.self_attn.v_proj.bias	[512]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.1.self_attn.o_proj.weight	[3584, 3584]        	cuda:0    	F8_E4M3
_orig_mod.language_model.model.layers.1.self_attn.q_norm.weight	[128]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.1.self_attn.k_norm.weight	[128]               	cuda:0    	BF16
_orig_mod.language_model.model.layers.1.self_attn.q_norm_moe_gen.weight	[128]               	cuda:0    	BF16
